TokenID OwnerAgentID LifeCycleCurveShape  DoB  DoD 
319 3448 Seasonal_3x 4 15
320 3451 Fad_4x 4 12
321 3456 Seasonal_2x 4 16
322 3458 Extended_Fad_3x 4 13
323 3475 Revival_2x 4 15
324 3483 Traditional_4x 4 16
325 3494 Extended_Fad_4x 4 15
326 3498 Extended_Fad_1x 4 12
327 3507 Fad_2x 4 15
328 3509 Boom_classic_2x 4 14
329 3511 Extended_Fad_2x 4 11
330 3521 Fad_3x 4 18
331 3524 Revival_4x 4 18
332 3534 Extended_Fad_1x 4 16
333 3552 Revival_2x 4 14
334 3555 Seasonal_1x 4 15
335 3562 Extended_Fad_2x 4 13
336 3569 Fad_1x 4 14
337 3570 Bust_4x 4 15
338 3581 Boom_classic_2x 4 18
339 3586 Traditional_3x 4 14
340 3589 Revival_4x 4 16
341 3615 Traditional_3x 4 18
342 3619 Revival_4x 4 19
343 3651 Seasonal_1x 4 16
344 3662 Boom_classic_4x 4 19
345 3683 Traditional_4x 4 15
346 3687 Boom_classic_1x 4 16
347 3693 Traditional_1x 4 16
348 3694 Boom_classic_2x 4 17
349 3699 Bust_2x 4 15
350 3708 Revival_4x 4 19
351 3731 Fad_3x 4 16
352 3741 Revival_2x 4 15
353 3745 Revival_2x 4 15
354 3750 Extended_Fad_4x 4 14
355 3751 Boom_classic_1x 4 15
356 3759 Traditional_4x 4 17
357 3766 Revival_3x 4 13
358 3771 Revival_4x 4 19
359 3798 Bust_4x 4 14
360 3804 Seasonal_3x 4 14
361 3809 Bust_1x 4 18
362 3833 Fad_3x 4 16
363 3837 Extended_Fad_2x 4 13
364 3842 Seasonal_1x 4 18
365 3871 Seasonal_3x 4 13
366 3885 Fad_2x 4 12
367 3889 Extended_Fad_1x 4 20
368 3890 Traditional_4x 4 16
369 3902 Fad_4x 4 17
370 3907 Seasonal_3x 4 16
371 3908 Fad_3x 4 16
372 3922 Fad_4x 4 19
373 3928 Extended_Fad_2x 4 14
374 3940 Fad_3x 4 11
375 3942 Revival_2x 4 14
376 3956 Fad_2x 4 17
377 3962 Fad_3x 4 17
378 3972 Bust_4x 4 16
379 3974 Fad_4x 4 16
380 3978 Traditional_1x 4 15
381 4001 Bust_4x 4 16
382 4007 Seasonal_3x 4 14
383 4015 Seasonal_2x 4 14
384 4017 Seasonal_3x 4 15
385 4036 Fad_2x 4 18
386 4041 Boom_classic_1x 4 16
387 4054 Traditional_1x 4 15
388 4063 Fad_1x 4 17
389 4064 Boom_classic_4x 4 19
390 4068 Extended_Fad_4x 4 20
391 4072 Bust_4x 4 14
392 4074 Bust_1x 4 17
