AgentID AgentLiquidity TokenID DeltaSupply TokenCurrentBuyPrice TokenCurrentSellPrice TokenCurrentSupply TransactionType SimulationMonth 
72 11414.863012 5 0.238123 10.472366 10.472366 2.094473 buy 4 
384 2203.437754 20 0.921080 9.214209 9.214209 1.842842 buy 4 
379 2209.411103 32 0.484101 2.420504 2.420504 0.484101 buy 4 
345 5791.882160 10 0.833552 7.575106 7.575106 1.515021 buy 4 
180 1844.358085 39 0.901352 9.651537 9.651537 1.930307 buy 4 
333 2249.452305 26 0.853194 4.265968 4.265968 0.853194 buy 4 
261 1957.969694 33 0.192590 3.568262 3.568262 0.713652 buy 4 
215 2319.973426 7 0.615038 11.747819 11.747819 2.349564 sell 5 
72 11416.208755 6 0.414176 0.142892 0.142892 0.028578 sell 5 
465 5379.264207 6 0.587115 3.078465 3.078465 0.615693 buy 5 
250 1198.766237 29 0.199421 6.499913 6.499913 1.299983 buy 5 
179 1770.520828 41 0.528353 4.139514 4.139514 0.827903 buy 5 
146 2314.510505 14 0.649676 9.788506 9.788506 1.957701 sell 5 
119 2072.075025 7 0.522741 14.361524 14.361524 2.872305 buy 5 
178 2348.231958 20 0.186894 10.148681 10.148681 2.029736 buy 5 
185 2038.152676 9 0.856009 8.997083 8.997083 1.799417 buy 5 
79 2106.615251 25 0.207867 13.106766 13.106766 2.621353 sell 5 
238 1962.611499 37 0.545979 11.490154 11.490154 2.298031 buy 5 
368 1475.892599 14 0.104909 10.313051 10.313051 2.062610 buy 5 
401 2500.302282 32 0.722717 6.034089 6.034089 1.206818 buy 5 
332 1768.855459 30 0.366828 4.415582 4.415582 0.883116 buy 5 
408 2277.581259 2 0.026457 9.371929 9.371929 1.874386 sell 5 
457 2284.264288 32 0.648130 9.274740 9.274740 1.854948 buy 5 
340 2073.126904 25 0.113730 13.675417 13.675417 2.735083 buy 5 
489 1573.991486 42 0.408706 9.567283 9.567283 1.913457 buy 5 
56 2729.882617 23 0.147951 1.235450 1.235450 0.247090 sell 5 
316 2044.464350 10 0.162586 8.388034 8.388034 1.677607 buy 5 
400 1904.216290 14 0.917755 14.901825 14.901825 2.980365 buy 5 
69 1662.587288 18 0.055309 4.667332 4.667332 0.933466 sell 5 
252 2305.670236 35 0.119236 0.596179 0.596179 0.119236 buy 5 
276 1988.341119 22 0.916454 9.875912 9.875912 1.975182 buy 5 
417 1656.542075 11 0.295983 8.964176 8.964176 1.792835 buy 5 
208 2299.226548 1 0.014583 6.603686 6.603686 1.320737 sell 5 
69 1659.182065 39 0.325391 11.278493 11.278493 2.255699 buy 5 
262 1717.310853 38 0.012225 16.016450 16.016450 3.203290 buy 5 
119 2069.451355 27 0.352450 8.325222 8.325222 1.665044 buy 5 
199 1797.402723 11 0.199984 9.964098 9.964098 1.992820 buy 5 
305 1649.138529 25 0.523861 16.294723 16.294723 3.258945 buy 5 
184 1898.004297 11 0.039227 9.767961 9.767961 1.953592 sell 5 
375 2053.940101 44 0.494398 4.199988 4.199988 0.839998 buy 5 
422 1900.308698 11 0.081993 10.177924 10.177924 2.035585 buy 5 
16 2140.742364 20 0.516217 7.567595 7.567595 1.513519 sell 5 
451 1870.855879 20 0.107766 8.106424 8.106424 1.621285 buy 5 
487 2119.862659 11 0.564495 13.000397 13.000397 2.600079 buy 5 
457 2288.969393 32 0.452187 7.013803 7.013803 1.402761 sell 5 
262 1721.872209 7 0.301758 12.852732 12.852732 2.570546 sell 5 
233 2149.996417 42 0.798279 13.558677 13.558677 2.711735 buy 5 
462 2112.668582 7 0.133627 13.520869 13.520869 2.704174 buy 5 
81 2027.165225 5 0.505938 13.002057 13.002057 2.600411 buy 5 
191 1637.845279 26 0.402719 6.279563 6.279563 1.255913 buy 5 
14 2098.015906 14 0.710428 11.349683 11.349683 2.269937 sell 5 
